Material Group,Material Category,DSNY Diversion Summary Category,Aggregate Percent,Refuse Percent,"MGP (Metal, Glass, Plastic) Percent",Paper Percent,Organics Percent,"Generator (Aggregate, Residential, Schools, NYCHA, Litter Baskets)","Residential Strata (Citywide, HDHI, HDLI, HDMI, LDHI, LDLI, LDMI, MDHI, MDLI, MDMI)","Period (Annual, Season 1, Season 2)"
Metal,Appliances: Non-Ferrous,Designated MGP,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
Organics,Yard Waste,Organics Suitable for Composting,5.5%,7.0%,0.1%,0.5%,-,Residential,MDHI,Annual
Organics,Food: Loose,Organics Suitable for Composting,12.4%,16.4%,1.0%,0.2%,-,Residential,MDHI,Annual
Organics,Food: Intact Packaging,Organics Suitable for Composting,1.5%,1.9%,0.4%,0.0%,-,Residential,MDHI,Annual
Organics,Food: Open Packaging,Organics Suitable for Composting,5.5%,7.1%,1.4%,0.5%,-,Residential,MDHI,Annual
Organics,Food: Liquid,Organics Suitable for Composting,0.2%,0.2%,0.1%,0.3%,-,Residential,MDHI,Annual
Organics,Non-C&D Wood,Other (Non-Divertable),0.5%,0.6%,0.2%,0.0%,-,Residential,MDHI,Annual
Organics,Textiles: Non-Clothing,Textiles,1.5%,2.0%,0.1%,0.1%,-,Residential,MDHI,Annual
Organics,Textiles: Woven Bags,Textiles,0.3%,0.4%,0.1%,0.1%,-,Residential,MDHI,Annual
Organics,Textiles: Clothing - Stretchy Fabric,Textiles,0.7%,0.8%,0.1%,0.2%,-,Residential,MDHI,Annual
Organics,Textiles: Clothing - Non-Stretchy,Textiles,0.7%,0.9%,0.1%,0.1%,-,Residential,MDHI,Annual
Organics,Shoes/Rubber/Leather,Textiles,1.0%,1.2%,0.2%,0.1%,-,Residential,MDHI,Annual
Organics,Carpet/ Upholstery: Broadloom Carpet,Other (Non-Divertable),0.0%,0.0%,0.0%,0.2%,-,Residential,MDHI,Annual
Organics,Carpet/ Upholstery: Tile Carpet,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
Organics,Carpet/ Upholstery: Other Carpet,Other (Non-Divertable),0.3%,0.4%,0.0%,0.0%,-,Residential,MDHI,Annual
Organics,Carpet/ Upholstery: Spring Mattresses And Boxsprings,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
Organics,Carpet/ Upholstery: Other Upholtery,Other (Non-Divertable),0.1%,0.1%,0.0%,0.0%,-,Residential,MDHI,Annual
Organics,Disposable Diapers & Sanitary Products,Other (Non-Divertable),4.4%,5.9%,0.2%,0.2%,-,Residential,MDHI,Annual
Organics,Animal By-Products,Other (Non-Divertable),3.3%,4.4%,0.2%,0.0%,-,Residential,MDHI,Annual
Organics,Garden Hoses,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
Organics,Fines,Other (Non-Divertable),3.1%,3.5%,3.2%,0.6%,-,Residential,MDHI,Annual
Organics,Miscellaneous Organics,Other (Non-Divertable),0.8%,1.1%,0.2%,0.2%,-,Residential,MDHI,Annual
Electronics,Audio/Visual Equipment (TV Peripherals - Covered),E-Waste,0.0%,0.0%,0.3%,0.0%,-,Residential,MDHI,Annual
Electronics,Audio/Visual Equipment (Non-Covered),E-Waste,0.2%,0.1%,0.3%,0.3%,-,Residential,MDHI,Annual
Electronics,Computer Monitors,E-Waste,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
Electronics,Televisions,E-Waste,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
Electronics,Other Computer Equipment,E-Waste,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
C&D,"Untreated Dimension Lumber, Pallets, Crates",C & D,0.4%,0.5%,0.0%,0.0%,-,Residential,MDHI,Annual
C&D,Treated/Contaminated/ Composite Wood,C & D,0.6%,0.8%,0.1%,0.1%,-,Residential,MDHI,Annual
C&D,Other C&D Debris Not Elsewhere Classified,C & D,1.0%,1.4%,0.1%,0.0%,-,Residential,MDHI,Annual
Miscellaneous,Miscellaneous Inorganics,Other (Non-Divertable),1.5%,1.9%,0.7%,0.3%,-,Residential,MDHI,Annual
HHW,Pesticides/Herbicides/Rodenticides,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
HHW,Oil Filters,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
HHW,Antifreeze,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
HHW,Wet-Cell Batteries,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
HHW,E-Mobility Batteries,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
HHW,Vape Pens,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
HHW,Rechargeable Batteries,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
HHW,Other Dry-Cell Batteries,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
HHW,Water-Based Adhesives/Glues,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
HHW,Latex Paint,HHW,0.1%,0.1%,0.0%,0.0%,-,Residential,MDHI,Annual
HHW,Oil-Based Paint/Solvent,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
HHW,Fluorescent Tubes/CFLs,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
HHW,Mercury-Laden Wastes,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
HHW,"Compressed Gas Cylinders, Fire Extinguishers",HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDHI,Annual
HHW,Home Medical Products,HHW,0.1%,0.1%,0.1%,0.0%,-,Residential,MDHI,Annual
HHW,Pharmaceuticals,HHW,0.3%,0.3%,0.0%,0.0%,-,Residential,MDHI,Annual
HHW,Other Potentially Harmful Wastes,HHW,0.0%,0.0%,0.1%,0.0%,-,Residential,MDHI,Annual
Paper,Newspaper,Designated Paper,0.7%,0.4%,0.4%,3.7%,-,Residential,MDMI,Annual
Paper,Plain OCC/Kraft Paper,Designated Paper,7.3%,2.4%,4.2%,56.6%,-,Residential,MDMI,Annual
Paper,High Grade Paper,Designated Paper,0.4%,0.3%,0.1%,1.4%,-,Residential,MDMI,Annual
Paper,Mixed Low Grade Paper,Designated Paper,6.8%,5.8%,3.2%,19.9%,-,Residential,MDMI,Annual
Paper,Compostable: Containers & Packaging,Organics Suitable for Composting,0.4%,0.3%,0.2%,0.9%,-,Residential,MDMI,Annual
Paper,Compostable: Other Soiled Paper/Waxed OCC/Kraft,Organics Suitable for Composting,8.8%,10.1%,2.4%,2.8%,-,Residential,MDMI,Annual
Paper,Other Non-recyclable Paper,Other (Non-Divertable),1.5%,1.4%,0.9%,2.3%,-,Residential,MDMI,Annual
Paper,Beverage Cartons & Aseptic Boxes,Designated MGP,0.4%,0.3%,1.4%,0.4%,-,Residential,MDMI,Annual
Paper,Shredded Paper,Designated Paper,0.2%,0.1%,0.2%,1.0%,-,Residential,MDMI,Annual
Plastic,#1 PET Bottles - Clear & Green,Designated MGP,1.4%,1.0%,5.9%,0.4%,-,Residential,MDMI,Annual
Plastic,#1 PET Bottles - All Other Colors,Designated MGP,0.1%,0.1%,0.4%,0.0%,-,Residential,MDMI,Annual
Plastic,#2 HDPE Natural Bottles,Designated MGP,0.4%,0.3%,2.4%,0.3%,-,Residential,MDMI,Annual
Plastic,#2 HDPE Colored Bottles,Designated MGP,0.5%,0.2%,3.3%,0.2%,-,Residential,MDMI,Annual
Plastic,#3-#7 & Unlabeled Bottles,Designated MGP,0.1%,0.1%,0.4%,0.0%,-,Residential,MDMI,Annual
Plastic,Thermoforms,Designated MGP,1.3%,1.0%,4.6%,0.4%,-,Residential,MDMI,Annual
Plastic,Other PVC,Designated MGP,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
Plastic,Tubs & Lids,Designated MGP,0.9%,0.9%,2.7%,0.2%,-,Residential,MDMI,Annual
Plastic,#6 Expanded Polystyrene Containers & Packaging (EPS),Other (Non-Divertable),0.4%,0.4%,0.2%,0.1%,-,Residential,MDMI,Annual
Plastic,#1-#7 Other Rigid Containers/Packaging,Designated MGP,0.3%,0.2%,0.9%,0.2%,-,Residential,MDMI,Annual
Plastic,Film: Retail Bags & Sleeves,Other (Non-Divertable),0.8%,0.9%,0.4%,0.1%,-,Residential,MDMI,Annual
Plastic,Film: Garbage Bags,Other (Non-Divertable),4.0%,4.3%,3.2%,1.9%,-,Residential,MDMI,Annual
Plastic,Film: Non-Woven Reusable Plastic Bags,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
Plastic,Film: Pouches,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
Plastic,Film: Oversize Items,Other (Non-Divertable),0.4%,0.4%,0.1%,0.0%,-,Residential,MDMI,Annual
Plastic,Film: Other #2/#4 Polyethylene Bags,Other (Non-Divertable),0.4%,0.5%,0.3%,0.0%,-,Residential,MDMI,Annual
Plastic,Film: Other Non-Polyethylene/ Contaminated,Other (Non-Divertable),1.9%,2.1%,1.0%,0.6%,-,Residential,MDMI,Annual
Plastic,Film: DSNY Compostable Plastic Bags,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
Plastic,Single-Use Plastics,Designated MGP,1.4%,1.6%,0.9%,0.1%,-,Residential,MDMI,Annual
Plastic,Appliances: Plastic,Designated MGP,0.2%,0.1%,1.6%,0.1%,-,Residential,MDMI,Annual
Plastic,Bulk/Rigid: Plastic,Designated MGP,0.1%,0.1%,0.1%,0.0%,-,Residential,MDMI,Annual
Plastic,Bulk/Rigid: Plastic Toys/ Housewares,Designated MGP,0.3%,0.2%,1.5%,0.0%,-,Residential,MDMI,Annual
Plastic,Bulk/Rigid: Other Durable,Designated MGP,0.3%,0.3%,0.8%,0.1%,-,Residential,MDMI,Annual
Plastic,Other Plastics Materials not Elsewhere Classified,Designated MGP,0.7%,0.7%,1.8%,0.2%,-,Residential,MDMI,Annual
Glass,Clear Container Glass,Designated MGP,1.9%,1.0%,11.3%,0.5%,-,Residential,MDMI,Annual
Glass,Green Container Glass,Designated MGP,0.8%,0.2%,7.5%,0.2%,-,Residential,MDMI,Annual
Glass,Brown Container Glass,Designated MGP,0.3%,0.2%,1.7%,0.0%,-,Residential,MDMI,Annual
Glass,Other Color Container Glass,Designated MGP,0.1%,0.0%,0.4%,0.1%,-,Residential,MDMI,Annual
Glass,Mixed Cullet,Designated MGP,1.0%,0.4%,7.2%,0.3%,-,Residential,MDMI,Annual
Glass,Other Glass,Designated MGP,0.3%,0.2%,0.9%,0.0%,-,Residential,MDMI,Annual
Metal,Aluminum Cans & Bottles,Designated MGP,0.3%,0.3%,0.9%,0.0%,-,Residential,MDMI,Annual
HHW,Oil-Based Paint/Solvent,HHW,-,0.0%,-,-,-,NYCHA,Citywide,Annual
Metal,Aluminum Foil/Containers,Designated MGP,1.1%,1.1%,1.3%,0.1%,-,Residential,MDMI,Annual
Metal,Other Aluminum,Designated MGP,0.0%,0.0%,0.1%,0.0%,-,Residential,MDMI,Annual
Metal,Other Non-Ferrous,Designated MGP,0.1%,0.1%,0.3%,0.0%,-,Residential,MDMI,Annual
Metal,Steel/Tin Food Cans,Designated MGP,0.8%,0.5%,4.2%,0.2%,-,Residential,MDMI,Annual
Metal,Empty Aerosol Cans,Designated MGP,0.2%,0.2%,0.6%,0.0%,-,Residential,MDMI,Annual
Metal,Other Ferrous,Designated MGP,0.8%,0.6%,2.7%,0.4%,-,Residential,MDMI,Annual
Metal,Mixed Metals,Designated MGP,0.5%,0.3%,2.2%,0.0%,-,Residential,MDMI,Annual
Metal,Appliances: Ferrous,Designated MGP,0.1%,0.0%,1.2%,0.0%,-,Residential,MDMI,Annual
Metal,Appliances: Non-Ferrous,Designated MGP,0.0%,0.0%,0.3%,0.0%,-,Residential,MDMI,Annual
Organics,Yard Waste,Organics Suitable for Composting,4.9%,5.9%,0.1%,0.0%,-,Residential,MDMI,Annual
Organics,Food: Loose,Organics Suitable for Composting,16.5%,19.7%,1.2%,0.4%,-,Residential,MDMI,Annual
Organics,Food: Intact Packaging,Organics Suitable for Composting,1.6%,1.8%,0.9%,0.4%,-,Residential,MDMI,Annual
Organics,Food: Open Packaging,Organics Suitable for Composting,4.2%,5.0%,1.3%,0.3%,-,Residential,MDMI,Annual
Organics,Food: Liquid,Organics Suitable for Composting,0.4%,0.5%,0.3%,0.0%,-,Residential,MDMI,Annual
Organics,Non-C&D Wood,Other (Non-Divertable),0.4%,0.5%,0.2%,0.0%,-,Residential,MDMI,Annual
Organics,Textiles: Non-Clothing,Textiles,1.5%,1.7%,0.3%,0.1%,-,Residential,MDMI,Annual
Organics,Textiles: Woven Bags,Textiles,0.3%,0.3%,0.1%,0.1%,-,Residential,MDMI,Annual
Organics,Textiles: Clothing - Stretchy Fabric,Textiles,0.6%,0.7%,0.1%,0.1%,-,Residential,MDMI,Annual
Organics,Textiles: Clothing - Non-Stretchy,Textiles,1.5%,1.8%,0.1%,0.4%,-,Residential,MDMI,Annual
Organics,Shoes/Rubber/Leather,Textiles,0.8%,0.9%,0.3%,0.1%,-,Residential,MDMI,Annual
Organics,Carpet/ Upholstery: Broadloom Carpet,Other (Non-Divertable),0.3%,0.3%,0.0%,0.0%,-,Residential,MDMI,Annual
Organics,Carpet/ Upholstery: Tile Carpet,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
Organics,Carpet/ Upholstery: Other Carpet,Other (Non-Divertable),0.2%,0.3%,0.0%,0.0%,-,Residential,MDMI,Annual
Organics,Carpet/ Upholstery: Spring Mattresses And Boxsprings,Other (Non-Divertable),0.4%,0.5%,0.0%,0.0%,-,Residential,MDMI,Annual
Organics,Carpet/ Upholstery: Other Upholtery,Other (Non-Divertable),0.2%,0.3%,0.0%,0.0%,-,Residential,MDMI,Annual
Organics,Disposable Diapers & Sanitary Products,Other (Non-Divertable),4.6%,5.5%,0.3%,0.1%,-,Residential,MDMI,Annual
Organics,Animal By-Products,Other (Non-Divertable),2.1%,2.5%,0.1%,0.0%,-,Residential,MDMI,Annual
Organics,Garden Hoses,Other (Non-Divertable),0.0%,0.0%,0.1%,0.0%,-,Residential,MDMI,Annual
Organics,Fines,Other (Non-Divertable),3.1%,3.3%,3.8%,0.6%,-,Residential,MDMI,Annual
Organics,Miscellaneous Organics,Other (Non-Divertable),1.3%,1.6%,0.1%,0.0%,-,Residential,MDMI,Annual
Electronics,Audio/Visual Equipment (TV Peripherals - Covered),E-Waste,0.1%,0.1%,0.3%,0.1%,-,Residential,MDMI,Annual
Electronics,Audio/Visual Equipment (Non-Covered),E-Waste,0.3%,0.3%,0.4%,0.0%,-,Residential,MDMI,Annual
Electronics,Computer Monitors,E-Waste,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
Electronics,Televisions,E-Waste,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
Electronics,Other Computer Equipment,E-Waste,0.0%,0.0%,0.1%,0.0%,-,Residential,MDMI,Annual
C&D,"Untreated Dimension Lumber, Pallets, Crates",C & D,0.4%,0.4%,0.0%,0.3%,-,Residential,MDMI,Annual
C&D,Treated/Contaminated/ Composite Wood,C & D,0.7%,0.8%,0.1%,0.1%,-,Residential,MDMI,Annual
C&D,Other C&D Debris Not Elsewhere Classified,C & D,1.4%,1.6%,0.3%,0.0%,-,Residential,MDMI,Annual
Miscellaneous,Miscellaneous Inorganics,Other (Non-Divertable),1.2%,1.3%,0.7%,0.7%,-,Residential,MDMI,Annual
HHW,Pesticides/Herbicides/Rodenticides,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
HHW,Oil Filters,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
HHW,Antifreeze,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
HHW,Wet-Cell Batteries,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
HHW,E-Mobility Batteries,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
HHW,Vape Pens,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
HHW,Rechargeable Batteries,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
HHW,Other Dry-Cell Batteries,HHW,0.0%,0.0%,0.1%,0.0%,-,Residential,MDMI,Annual
HHW,Water-Based Adhesives/Glues,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
HHW,Latex Paint,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
HHW,Oil-Based Paint/Solvent,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
HHW,Fluorescent Tubes/CFLs,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
HHW,Mercury-Laden Wastes,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
HHW,"Compressed Gas Cylinders, Fire Extinguishers",HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
HHW,Home Medical Products,HHW,0.2%,0.2%,0.1%,0.2%,-,Residential,MDMI,Annual
HHW,Pharmaceuticals,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDMI,Annual
HHW,Other Potentially Harmful Wastes,HHW,0.0%,0.0%,0.1%,0.0%,-,Residential,MDMI,Annual
Paper,Newspaper,Designated Paper,0.5%,0.5%,0.3%,1.4%,-,Residential,MDLI,Annual
Paper,Plain OCC/Kraft Paper,Designated Paper,6.1%,1.6%,3.7%,63.9%,-,Residential,MDLI,Annual
Paper,High Grade Paper,Designated Paper,0.3%,0.4%,0.1%,0.2%,-,Residential,MDLI,Annual
Paper,Mixed Low Grade Paper,Designated Paper,6.5%,6.0%,4.2%,15.8%,-,Residential,MDLI,Annual
Paper,Compostable: Containers & Packaging,Organics Suitable for Composting,0.2%,0.2%,0.1%,0.4%,-,Residential,MDLI,Annual
Paper,Compostable: Other Soiled Paper/Waxed OCC/Kraft,Organics Suitable for Composting,8.5%,9.5%,2.3%,2.9%,-,Residential,MDLI,Annual
Paper,Other Non-recyclable Paper,Other (Non-Divertable),1.6%,1.8%,0.9%,0.7%,-,Residential,MDLI,Annual
Paper,Beverage Cartons & Aseptic Boxes,Designated MGP,0.4%,0.3%,1.4%,0.5%,-,Residential,MDLI,Annual
Paper,Shredded Paper,Designated Paper,0.2%,0.1%,0.1%,1.3%,-,Residential,MDLI,Annual
Plastic,#1 PET Bottles - Clear & Green,Designated MGP,1.6%,1.2%,7.6%,0.6%,-,Residential,MDLI,Annual
Plastic,#1 PET Bottles - All Other Colors,Designated MGP,0.1%,0.0%,0.4%,0.0%,-,Residential,MDLI,Annual
Plastic,#2 HDPE Natural Bottles,Designated MGP,0.5%,0.3%,3.1%,0.1%,-,Residential,MDLI,Annual
Plastic,#2 HDPE Colored Bottles,Designated MGP,0.5%,0.3%,3.4%,0.2%,-,Residential,MDLI,Annual
Plastic,#3-#7 & Unlabeled Bottles,Designated MGP,0.1%,0.1%,0.4%,0.1%,-,Residential,MDLI,Annual
Plastic,Thermoforms,Designated MGP,1.1%,1.0%,3.0%,0.4%,-,Residential,MDLI,Annual
Plastic,Other PVC,Designated MGP,0.0%,0.0%,0.0%,0.0%,-,Residential,MDLI,Annual
Plastic,Tubs & Lids,Designated MGP,0.9%,0.8%,2.1%,0.2%,-,Residential,MDLI,Annual
Plastic,#6 Expanded Polystyrene Containers & Packaging (EPS),Other (Non-Divertable),0.4%,0.4%,0.1%,0.1%,-,Residential,MDLI,Annual
Plastic,#1-#7 Other Rigid Containers/Packaging,Designated MGP,0.3%,0.3%,0.6%,0.1%,-,Residential,MDLI,Annual
Plastic,Film: Retail Bags & Sleeves,Other (Non-Divertable),0.8%,0.9%,0.3%,0.1%,-,Residential,MDLI,Annual
Plastic,Film: Garbage Bags,Other (Non-Divertable),4.3%,4.6%,3.2%,1.5%,-,Residential,MDLI,Annual
Plastic,Film: Non-Woven Reusable Plastic Bags,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,-,Residential,MDLI,Annual
Plastic,Film: Pouches,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,-,Residential,MDLI,Annual
Plastic,Film: Oversize Items,Other (Non-Divertable),0.4%,0.4%,0.2%,0.1%,-,Residential,MDLI,Annual
Plastic,Film: Other #2/#4 Polyethylene Bags,Other (Non-Divertable),0.6%,0.7%,0.2%,0.0%,-,Residential,MDLI,Annual
Plastic,Film: Other Non-Polyethylene/ Contaminated,Other (Non-Divertable),1.8%,2.0%,0.7%,0.5%,-,Residential,MDLI,Annual
Plastic,Film: DSNY Compostable Plastic Bags,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,-,Residential,MDLI,Annual
Plastic,Single-Use Plastics,Designated MGP,1.4%,1.6%,0.8%,0.1%,-,Residential,MDLI,Annual
Plastic,Appliances: Plastic,Designated MGP,0.1%,0.1%,1.0%,0.0%,-,Residential,MDLI,Annual
Plastic,Bulk/Rigid: Plastic,Designated MGP,0.1%,0.1%,0.2%,0.0%,-,Residential,MDLI,Annual
Plastic,Bulk/Rigid: Plastic Toys/ Housewares,Designated MGP,0.4%,0.2%,3.1%,0.1%,-,Residential,MDLI,Annual
Plastic,Bulk/Rigid: Other Durable,Designated MGP,0.2%,0.1%,0.8%,0.0%,-,Residential,MDLI,Annual
Plastic,Other Plastics Materials not Elsewhere Classified,Designated MGP,0.9%,0.8%,1.7%,0.3%,-,Residential,MDLI,Annual
Glass,Clear Container Glass,Designated MGP,1.8%,1.0%,11.2%,0.9%,-,Residential,MDLI,Annual
Glass,Green Container Glass,Designated MGP,0.7%,0.3%,5.2%,0.6%,-,Residential,MDLI,Annual
Glass,Brown Container Glass,Designated MGP,0.3%,0.2%,1.6%,0.1%,-,Residential,MDLI,Annual
Glass,Other Color Container Glass,Designated MGP,0.0%,0.0%,0.4%,0.0%,-,Residential,MDLI,Annual
Glass,Mixed Cullet,Designated MGP,0.8%,0.5%,5.5%,0.2%,-,Residential,MDLI,Annual
Glass,Other Glass,Designated MGP,0.3%,0.3%,1.0%,0.1%,-,Residential,MDLI,Annual
Metal,Aluminum Cans & Bottles,Designated MGP,0.2%,0.2%,0.6%,0.1%,-,Residential,MDLI,Annual
Metal,Aluminum Foil/Containers,Designated MGP,1.2%,1.2%,1.7%,0.1%,-,Residential,MDLI,Annual
Metal,Other Aluminum,Designated MGP,0.1%,0.1%,0.1%,0.0%,-,Residential,MDLI,Annual
Metal,Other Non-Ferrous,Designated MGP,0.2%,0.2%,0.4%,0.0%,-,Residential,MDLI,Annual
Metal,Steel/Tin Food Cans,Designated MGP,0.8%,0.6%,3.9%,0.3%,-,Residential,MDLI,Annual
Metal,Empty Aerosol Cans,Designated MGP,0.2%,0.2%,0.7%,0.0%,-,Residential,MDLI,Annual
Metal,Other Ferrous,Designated MGP,0.5%,0.3%,3.6%,0.4%,-,Residential,MDLI,Annual
Metal,Mixed Metals,Designated MGP,0.6%,0.4%,2.6%,0.1%,-,Residential,MDLI,Annual
Metal,Appliances: Ferrous,Designated MGP,0.2%,0.0%,2.1%,0.0%,-,Residential,MDLI,Annual
Metal,Appliances: Non-Ferrous,Designated MGP,0.0%,0.0%,0.2%,0.0%,-,Residential,MDLI,Annual
Organics,Yard Waste,Organics Suitable for Composting,4.5%,5.2%,0.2%,0.1%,-,Residential,MDLI,Annual
Organics,Food: Loose,Organics Suitable for Composting,16.9%,19.5%,1.8%,0.9%,-,Residential,MDLI,Annual
Organics,Food: Intact Packaging,Organics Suitable for Composting,1.8%,2.0%,0.7%,0.2%,-,Residential,MDLI,Annual
Organics,Food: Open Packaging,Organics Suitable for Composting,4.9%,5.5%,1.8%,0.7%,-,Residential,MDLI,Annual
Organics,Food: Liquid,Organics Suitable for Composting,0.4%,0.5%,0.4%,0.1%,-,Residential,MDLI,Annual
Organics,Non-C&D Wood,Other (Non-Divertable),0.4%,0.4%,0.2%,0.2%,-,Residential,MDLI,Annual
Organics,Textiles: Non-Clothing,Textiles,1.5%,1.7%,0.4%,0.3%,-,Residential,MDLI,Annual
Organics,Textiles: Woven Bags,Textiles,0.4%,0.4%,0.1%,0.1%,-,Residential,MDLI,Annual
Organics,Textiles: Clothing - Stretchy Fabric,Textiles,0.9%,1.0%,0.1%,0.1%,-,Residential,MDLI,Annual
Organics,Textiles: Clothing - Non-Stretchy,Textiles,1.3%,1.4%,0.2%,0.3%,-,Residential,MDLI,Annual
Organics,Shoes/Rubber/Leather,Textiles,1.1%,1.3%,0.5%,0.1%,-,Residential,MDLI,Annual
Organics,Carpet/ Upholstery: Broadloom Carpet,Other (Non-Divertable),0.3%,0.3%,0.0%,0.0%,-,Residential,MDLI,Annual
Organics,Carpet/ Upholstery: Tile Carpet,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,-,Residential,MDLI,Annual
Organics,Carpet/ Upholstery: Other Carpet,Other (Non-Divertable),0.1%,0.2%,0.0%,0.0%,-,Residential,MDLI,Annual
Organics,Carpet/ Upholstery: Spring Mattresses And Boxsprings,Other (Non-Divertable),0.1%,0.1%,0.0%,0.0%,-,Residential,MDLI,Annual
Organics,Carpet/ Upholstery: Other Upholtery,Other (Non-Divertable),0.2%,0.2%,0.0%,0.0%,-,Residential,MDLI,Annual
Organics,Disposable Diapers & Sanitary Products,Other (Non-Divertable),5.4%,6.2%,0.6%,0.2%,-,Residential,MDLI,Annual
Organics,Animal By-Products,Other (Non-Divertable),1.3%,1.5%,0.1%,0.1%,-,Residential,MDLI,Annual
Organics,Garden Hoses,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,-,Residential,MDLI,Annual
Organics,Fines,Other (Non-Divertable),3.2%,3.5%,2.7%,0.7%,-,Residential,MDLI,Annual
Organics,Miscellaneous Organics,Other (Non-Divertable),1.0%,1.2%,0.2%,0.1%,-,Residential,MDLI,Annual
Electronics,Audio/Visual Equipment (TV Peripherals - Covered),E-Waste,0.1%,0.1%,0.2%,0.0%,-,Residential,MDLI,Annual
Electronics,Audio/Visual Equipment (Non-Covered),E-Waste,0.2%,0.2%,0.6%,0.2%,-,Residential,MDLI,Annual
Electronics,Computer Monitors,E-Waste,0.0%,0.0%,0.0%,0.0%,-,Residential,MDLI,Annual
Electronics,Televisions,E-Waste,0.0%,0.0%,0.0%,0.0%,-,Residential,MDLI,Annual
Electronics,Other Computer Equipment,E-Waste,0.0%,0.0%,0.2%,0.0%,-,Residential,MDLI,Annual
C&D,"Untreated Dimension Lumber, Pallets, Crates",C & D,0.4%,0.5%,0.0%,0.1%,-,Residential,MDLI,Annual
C&D,Treated/Contaminated/ Composite Wood,C & D,1.3%,1.5%,0.2%,0.1%,-,Residential,MDLI,Annual
C&D,Other C&D Debris Not Elsewhere Classified,C & D,1.9%,2.2%,0.5%,0.2%,-,Residential,MDLI,Annual
Miscellaneous,Miscellaneous Inorganics,Other (Non-Divertable),1.1%,1.2%,0.9%,0.4%,-,Residential,MDLI,Annual
HHW,Pesticides/Herbicides/Rodenticides,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDLI,Annual
HHW,Oil Filters,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDLI,Annual
HHW,Antifreeze,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDLI,Annual
HHW,Wet-Cell Batteries,HHW,0.0%,0.0%,0.0%,0.0%,-,Residential,MDLI,Annual
